low,high,day,night
91,100,"I spend the daylight hours walking the island and resting from the night's work. The emptiness of the place unsettles me — no voices, no company, only rock and sea and wind. The birds, the shore, and the water are exactly as they should be, and my unease is only the ordinary loneliness of a person left alone.","The night is a constant fight to keep the lighthouse working. The machinery fails again and again, and I move from one problem to the next without rest, forcing the light to stay lit until morning. By dawn I am exhausted, and the work has taken everything I have."
81,90,"I use the day to explore the island and recover from the night. Being this alone is strange, and the silence presses on me, but I notice nothing out of the ordinary. Once in a while something small catches my attention, and I find the plain reason for it and think no more of it.","The night is spent keeping the lighthouse running, and it does not make it easy. It breaks down often and demands my attention through the dark hours, and I work hard to keep the light burning until dawn. The effort leaves me worn out."
71,80,"In the daytime I walk the island and rest. The loneliness has an eerie edge to it, and now and then I hear a sound I cannot place or see the birds moving in a way that seems wrong. I can usually explain these things to myself, though I am not always sure the explanation is right.","At night I work to keep the lighthouse operational. It still fails frequently, and much of the dark is spent on repairs to keep the light lit. The task is demanding and I feel it by morning."
61,70,"I spend the day out on the island and resting from the night. The solitude feels strange in a way I cannot quite name, and I sometimes notice things I cannot easily explain — a noise with no source, a shape at the edge of my sight that is gone when I look. The moments pass, and I tell myself they were nothing.","The night is given over to the lighthouse, which needs regular attention to keep running. Something goes wrong often enough that I cannot rest for long, and I work through the dark to keep the light burning. Now and then, in the quiet between tasks, I have the sense that I am not alone."
51,60,"During the day I explore and try to rest, but the island no longer feels entirely empty to me. I hear sounds I cannot find the source of, and I come across things on the shore and among the rocks that I do not remember from before. Some of it I can explain, and some of it I cannot, and I have begun to look twice at what is around me.","At night I keep the lighthouse lit, and it still gives me trouble, though I can manage it. Between the repairs, in the dark at the top of the tower, I find the light itself holds my attention more than it used to. I catch myself pausing to look into it before I turn back to the work."
41,50,"The day is filled with things I cannot account for. I hear voices and footsteps when I know I am alone, I see figures that vanish when I turn toward them, and the sea birds gather and move in patterns that seem to mean something I cannot read. I cannot tell whether any of it is real or whether my mind is making it, and I have no way to be sure.","At night the lighthouse needs little from me, and the light draws me to it. I spend long stretches simply looking into it, and I find it steadying in a way I cannot explain. The work I ought to do falls away while I stand there, and the hours pass without my noticing."
31,40,"In the daylight I wander the island and find it changed. I see and hear people who are not there, the birds wheel in shapes that feel deliberate, and I keep finding strange objects washed up along the shore that I cannot account for. I can no longer reliably tell what is truly in front of me and what I am imagining.","The lighthouse asks little of me, and I give myself over to the light. I stand before it for hours, held by it, unable and unwilling to look away. It comforts me, and the night goes by while I watch it, the way one might watch something that is calling to them."
21,30,"My days are full of things that may not be real. Figures, voices, and the feeling of others close by are with me constantly, the patterns in the birds seem to carry a meaning meant for me, and the shore offers up objects I cannot explain. I lose track of time and cannot always say what I have done or how I came to be where I am.","At night the light holds me completely. I spend the dark hours before it, staring into it as though it were calling me, and I struggle to pull myself away. The lighthouse seems to run without my help, and I do nothing but watch the light, hour after hour, until the day returns."
11,20,"In the daylight I can no longer trust what I perceive. I see whole events and people in full detail that may exist only in my mind, the birds move in patterns I am certain are meant for me, and the shore is strewn with things I cannot explain. I forget my own actions and lose long stretches of time, and I rarely know what is real.","The light is all there is at night. I stand before it, unable to look away, and the hours dissolve while I watch it draw me in."
1,10,"My days have no firm shape. I cannot separate what is real from what is not — the figures, the birds, the things on the shore all arrive the same way, and I do not know what is happening, what I have done, or where on the island I am. At times I am not in control of my own body, and I find myself moving and acting without deciding to.","At night the light consumes me. I stand before it and cannot leave it, and there is nothing else — no work, no thought, no sense of time, only the light and the pull of it. I watch it until the dark ends, or until I no longer know whether the dark has ended, held by it as if it were a voice I have to answer."
