ship_name,year,type,souls,notable_crew,brief,ship_story
La Trinidad Valera,1588,Spanish Armada galleon,300,"Don Rodrigo de Vera y Salcedo, nobleman and captain; Father Bartolomé Nuñez, ship's priest; Maestre Gaspar Olid, sailing master",The oldest dead on Rona speak a language no keeper has understood — and the island has held them longest.,"The La Trinidad Valera was a Spanish galleon of the great Armada, driven far north after the fleet's defeat in the Channel, fleeing home the long and ruinous way — up around the top of Scotland and down through the Atlantic, a route that killed more Spaniards that autumn than English guns ever did. She was crowded with soldiers as well as sailors, near three hundred men in all, most of them landsmen who had never wanted the sea, hungry and sick and far from Castile, under a nobleman captain who knew the Mediterranean and nothing of these black northern waters. She came apart on the reefs off Rona in a autumn gale, and there was no one on the island then to help the few who reached the shingle, and the sea took them too.

She is the oldest wreck the island's stories remember by name, and the deepest-rooted in them. The Spanish dead are spoken of as the ones who have been here longest, who were here before the light, before the keepers, before any of the others drowned — the first tenants of Rona's cold water. What little is recorded of her loss came third-hand and years late, from wreckage and Spanish coin that came ashore on Lewis, and from the sort of story that grows around foreign dead: that on certain nights a bell was heard tolling out on the reef where the galleon lay, slow and deliberate, long after any bell could have rung; that lights moved on the rocks; that the drowned Spaniards could be heard at prayer in a tongue no islander knew.

The plain accounts are duller and probably truer. The Armada's northern flight wrecked dozens of ships on the coasts of Scotland and Ireland that same season, storm and starvation and bad charts doing the work; a ship's bell can break loose and swing in a wreck for a long time before the sea silences it; the ""lights on the rocks"" were St Elmo's fire, or gulls pale against the dark, or nothing. What is not in dispute is the number. Near three hundred men went into the water off Rona in a single night, and none came home, and the island has had four hundred years to keep them.

Whether the language a keeper half-hears under the wind is Gaelic or Scots or something older and stranger is exactly the sort of thing the keeper will not be able to decide."
Grace of Dunbar,1731,merchant snow,9,"Master Alexander Kerr; Tam Bryce, the fourteen-year-old boy who alone survived","A drowned crew, and one boy who lived to say they had steered for a light that was not there.","The Grace of Dunbar was a two-masted snow of about ninety tons, out of Leith, working the northern trade: salt, worked iron, bolts of cloth, and barrels of meal carried up to the scattered communities of the far isles and traded back for hides, feathers, and dried fish. She was an unremarkable working vessel under an unremarkable master, Alexander Kerr, with a crew of nine all told — Lowland Scots for the most part, with two Orkneymen who knew the northern waters. This was long before any light stood on Rona; the island was then only a name sailors gave to a danger, a black rock in bad water that prudent men gave a wide berth.

She was lost on a night in late autumn, and what little is known comes from a single survivor, Tam Bryce, a boy of fourteen thrown clear onto the shingle who lived three days there before a passing boat took him off. He was never entirely sound afterward, and his account was never entirely trusted, but he said the same thing to everyone who asked until the day he died an old man: that in the fog they had seen a light, low and steady off the bow, and had steered for it believing it a fire on some safe shore, and that the light had drawn them straight onto the reef.

There was, of course, no shore there and no fire, and no lighthouse either, nor would there be for many years. Older sailors said the boy had seen the moon in a gap of cloud, or a fishing fire on a boat since lost, or nothing at all — that he had dreamed the light in his three cold days alone with the dead and could no longer tell the dream from the wreck. The rocks off Rona needed no light to sink a ship; they had been doing it for centuries without one.

That the boy lived his whole long life certain of a light that could not have been there is either the saddest detail of the wreck or the most frightening, and the story has never decided which."
Ann Sinclair,1789,emigrant ship,131,"Master Tobias Frayne; Hector MacAulay, tacksman, travelling with his wife and six children; many Gaelic-speaking families of the cleared townships","A hundred and thirty souls, whole families among them, lost within an hour of what some swore was a beacon of rescue.","The Ann Sinclair was a full-rigged ship of some three hundred tons, chartered to carry emigrants — Highland families cleared from their land, bound for the promise of Nova Scotia. She carried a hundred and forty-two souls below her decks, far more than she was built to hold in comfort: whole families, grandparents and infants, everything they owned packed into the hold, a Gaelic-speaking multitude who had never been to sea and were sick and frightened before the weather ever turned. Among them was the family of Hector MacAulay, a tacksman travelling with his wife and six children, the nearest thing the passengers had to a leader. Her master, Tobias Frayne, was an experienced man; her crew of twenty were ordinary merchant hands. She was meant to pass well west of the Hebrides and out into open ocean. She never did.

She came onto the reefs off Rona on a wild night some days into the voyage, driven — by the official account — far off her course by a succession of gales. She broke apart quickly, and of the hundred and forty-two aboard, only eleven reached the rocks alive, and several of those did not survive the island before help came. It remains the worst thing the waters off Rona are known to have done, and the emigrant dead — the children above all — are the ones the old stories dwell on most, and the ones a keeper is most unmanned to think he hears.

Why a careful master with sea-room to spare should have fetched up on the one reef for fifty miles was argued over for years and never settled. Storm and a failed reckoning is the plain answer, and likely the true one. But among the survivors' accounts, taken down by a minister in Stornoway, more than one half-drowned passenger insisted the ship had been steering toward a light in the last hour — that Frayne believed he had sighted a beacon and altered course for it, and that some aboard had given thanks at the sight of it, thinking themselves saved, in the minutes before the rocks. The minister, a sober man, recorded these accounts and recorded also that terrified people who have lost everything will say a great many things, and that there was no light on Rona then, nor could have been.

A hundred and thirty-one people drowned steering, some of them believed, toward safety. What they were steering toward is not a question the record answers."
Vigilant,1808,naval patrol brig,46,"Lieutenant James Pellew, commanding; Midshipman Charles Awdry, aged thirteen; a number of pressed men whose names were never recorded","A king's ship chased a strange sail onto the rocks, and the sail she chased was never found.","HM Brig Vigilant was a small warship of the Royal Navy, fourteen guns, employed on the thankless northern patrol — chasing smugglers, watching for the enemy's privateers, showing the King's colours in waters that rarely saw them. Her company of about fifty were a hard mix: career seamen, a scattering of Marines, a boy midshipman of thirteen named Awdry from a good family sent to make his name, and a number of pressed men taken up from the ports who had no wish to be there at all. Her commander, Lieutenant James Pellew, was young, ambitious, and eager for the sort of action that might make his career in a war that had so far passed him by.

She was lost off Rona on a clear night with a moderate sea — good conditions for a well-found ship handled by trained men, which is what makes the loss so strange. The Admiralty inquiry pieced the night together from the four survivors, and the picture it drew was this: that in the last watch the Vigilant had sighted a strange sail standing in toward the island, had taken it for a smuggler or a runner making for a hidden anchorage, and had crowded on to intercept it — chasing it in among the very rocks a King's ship had no business among, until she struck. The sail she chased was never afterward found, wrecked or afloat. No smuggler was ever identified. No other vessel was ever placed in those waters that night.

The inquiry concluded, reasonably, that Pellew had hazarded his ship out of over-eagerness, chasing shadows into a lee shore, and that the strange sail had been a fishing boat that fled and lived, or a trick of moonlight on a squall, or an excuse the survivors reached for to explain a young officer's fatal blunder. All of these are likelier than the alternative. But the four who lived held to the chase to their dying day, and one of them, an old pressed man who had never wanted the sea, would say only that the sail had let them gain on it, over and over, and had never once let them close.

Forty-six men, the boy Awdry among them, drowned pursuing a ship that may never have existed onto rocks that certainly did."
Perseverance,1846,Arctic whaler,36,"Master William Traill; Dr. Ewan Sim, ship's surgeon; Long John Yule, chief harpooner, a noted man in the Dundee fishery","The hardest sailors alive, lost on a calm clear night for no reason any of the six survivors could name.","The Perseverance was a barque-rigged whaler out of Dundee, three hundred and fifty tons, her hull doubled and strengthened for the ice, returning from a hard season in the Greenland fishery. Her crew of forty-two were among the toughest sailors alive — men who had spent months among the floes, rowed open boats onto the flanks of whales, and feared very little the sea could show them. Her master, William Traill, had made the northern passage more times than he could count; her chief harpooner, ""Long"" John Yule, was a man whose name was known on the Dundee quays. She was homeward bound, holds full of oil and bone, the season's danger behind her, every man aboard already thinking of the money and the shore.

She struck the reefs off Rona on a clear night with a light sea running — which is the part no one could ever explain. Storm did not take the Perseverance. The weather was fine, the visibility good, the crew seasoned, the master sober and sure of his position. And yet she came onto the rocks in the small hours as though she had steered for them, and went down with all but six hands.

The survivors — hardened men, not given to fancy — gave accounts that their own owners suppressed as bad for business and worse for the next season's crews. They spoke of the ship going oddly slow to answer her helm in the last hour; of a stillness that fell over the deck, a quiet in which no man felt able to raise his voice; of a light low on the water that Traill took for a vessel lying at anchor and closed with, and that was not a vessel, and was not anything, when they were upon the rocks. The likeliest truth is the dullest: that even the best of masters can misjudge a landfall in the dark, that a long season's fatigue dulls a man, that the rocks are simply there and do not care how good a sailor is.

The likeliest truth did not stop the six who lived from leaving the sea, all of them, and never going north again."
Freya,1871,Norwegian timber barque,14,"Captain Anders Holt; Nils Holt, his son, ship's boy, aged twelve","She struck by night, and was seen for three days afterward — drifting, awash, a figure at her wheel.","The Freya was a Norwegian barque in the Baltic timber trade, carrying a full cargo of sawn deals bound south for the building yards, worked by a crew of fourteen out of a small port near Bergen. Among them was her master, Captain Anders Holt, and his own son Nils, a boy of twelve making an early voyage as ship's boy in the way of seafaring families. They were foreigners in these waters, following a coasting route south, and Rona's reefs were not a danger they knew well. She struck them on a black night of rising wind and was holed and lost with all hands.

What sets the Freya apart, and what has kept her in the stories, is what happened after she struck. A timber ship does not always sink; her cargo of deals can hold a broken hull awash long after the sea should have claimed it, and the Freya did not go down. She was seen for three days afterward by fishing boats and by a passing coaster — low in the water, dismasted, half-submerged, but afloat, drifting slowly with the tide off Rona, refusing to sink. And more than one of those who saw her swore there was a figure at her wheel: a man standing at the helm of a dead ship awash to her rails, unmoving, as the hulk turned in the current.

The explanation is not hard to reach. A waterlogged timber ship will float for days; the ""figure at the wheel"" was a tangle of rigging and canvas, or a body lashed or caught upright, or the eye of a frightened man making a shape out of wreckage across a mile of grey water. When the Freya finally went down, or drifted off beyond sight, the figure went with her, and no one came close enough to say what it truly was. Fourteen Norwegians drowned that night, the boy Nils among them, far from home in a sea they did not know — and for three days their ship would not lie down and be dead."
Cormorant,1888,iron steam coaster,20,"Master Donald Rankin; Dr. Aeneas Croll, district physician; Miss Isobel Frew, a young woman travelling to her wedding","The first wreck the light was meant to prevent — and the keeper swore the lamp was burning, while the living swore it dark.","The Cormorant was an iron-hulled steam coaster of the modern sort, running a regular scheduled trade around the north and west coasts — coal, general cargo, the mail, and a few passengers, threading the islands on a timetable in a way the old sailing traders never could. By her time the lighthouse stood on Rona, tended and lit, and her loss was the first the light was built to prevent and did not. She carried fourteen crew and, that final trip, nine passengers, under a master named Donald Rankin who had run the route for eleven years and knew every rock on it by name. Among the passengers were Dr. Aeneas Croll, a district physician well known along the coast, and a young woman, Isobel Frew, travelling to the mainland to be married.

She was lost close under Rona on a night of thick fog, and here the ambiguity turns on the lighthouse itself. The keeper of the day swore, in the inquiry that followed, that the light had burned steady and true all night, exactly as his log recorded. The three survivors swore with equal conviction that they had seen no light at all in the fog — and one of them, a deckhand, insisted that they had seen a light, and steered by it, and that it had been in the wrong place, drawing them in toward the rocks rather than warning them off.

The inquiry could not reconcile a keeper's sworn word and log against three sworn survivors, and recorded the loss as due to fog and an error of navigation — while wondering, in its margins, whether the keeper had let the lamp fail and lied to save his post, or whether frightened men in fog can be trusted on anything at all. Both remain possible. Neither was ever proved. Twenty people drowned, the bride Isobel Frew and the doctor Croll among them, a mile from a light that either was or was not shining.

The one further fact the record holds is a small and cold one: the keeper of that night finished his six months, was relieved, and went home — and the relief crew noted, as such things were sometimes noted, that he came back very much changed."
Halcyon,1897,private steam yacht,14,"Sir Charles Ballantyne, Glasgow shipping magnate and owner; Lady Ballantyne, his wife; Miss Eleanor Ballantyne, their daughter; Captain Ross Merrilees, the yacht's sailing master","A rich man's pleasure cruise, wrecked on a calm summer night — and a survivor said he steered for the rocks as though called.","The Halcyon was a private steam yacht, a beautiful and expensive toy, owned by Sir Charles Ballantyne, a Glasgow shipping magnate who had made a fortune from other men's labour at sea and liked to take his leisure upon it. She was cruising the isles in high summer — Sir Charles, his wife, his grown daughter Eleanor, a few guests, and a professional crew under a capable sailing master, Captain Merrilees — a pleasure voyage among the scenery of the far north, the kind of thing the wealthy did in that age to be seen to do it. There was no cargo, no urgency, no reason on earth for the Halcyon to be anywhere near the reefs off Rona, which lay well off any course a pleasure cruise had cause to take.

And yet she was lost on them, on a calm, clear, moonlit summer night, in conditions so fair that the wreck baffled everyone who examined it. Of the sixteen aboard, only two of the crew survived, and it is from one of them — a young steward, not a seaman, and so perhaps not to be relied on — that the strange account comes. He said that late in the evening Sir Charles had taken it upon himself to steer, waving the sailing master away, and had turned the yacht in toward the island; that when Merrilees protested and tried to take the wheel back, Sir Charles would not give it up; and that the owner had stood at the helm steering steadily for the black line of the rocks with a fixed and peaceful look, as though he saw something there that no one else could see, and was going gladly to it.

The obvious explanations crowd in at once. Sir Charles had dined and drunk well; he was a vain man playing at sailor in waters he did not understand; the steward was terrified, unqualified, and telling a tale that put no blame on the surviving crew. A rich amateur wrecked his yacht through arrogance and drink, which happened often enough in that age of pleasure cruising. But fourteen people drowned on a flat calm sea within sight of a working light, the daughter Eleanor among them, because their ship turned in toward the one danger for miles — and the man at the wheel, the one witness said, was smiling."
Wandering Star,1919,steam herring drifter,10,"Skipper Kenneth 'Kenny' Morrison, sailing with his two younger brothers; Angus Gillies, lately home from the war","Ten young island men, their own community's sons, lost almost within sight of home.","The Wandering Star was a steam drifter of the herring fleet, a small, hard-working vessel out of a village on the north of Lewis, and her crew of ten were local men — brothers, cousins, neighbours, most of them under thirty, several just home from the war and glad to be back at the fishing. Her skipper, Kenny Morrison, sailed with his two younger brothers aboard, three sons of one house in one boat, which was common enough in the island fishing and made the loss, when it came, the crueller. Among the crew too was Angus Gillies, who had survived four years of the Western Front only to come home to the sea. These were not strangers venturing far; they were island men working waters their families had worked for generations, every one of them known by name to the community ashore.

She went onto the rocks off Rona on a night that those ashore remembered as no worse than many the drifters worked through without harm. No one survived to say what happened, and so the wreck is all rumour and no testimony — which, in its way, has let the rumour grow the larger. It was said afterward, by men who fished those grounds, that the Wandering Star had been seen to alter course late in the night toward the island, toward what one distant crew claimed was a light showing on Rona at an hour the keeper of the time could not account for. It was said the sea birds rose off the cliffs and wheeled strangely before it. It was said a great many things, in the way that grief and small close communities together will say things.

The plain and probable account is that a small vessel in a rising sea misjudged the rocks in the dark, as small vessels sometimes did, and that ten young men drowned for no reason at all but the ordinary cruelty of the water. The villages of the north end preferred, on the whole, the plain account; three brothers and their neighbours gone in a night was easier to carry as bad luck than as anything else. But the story of the light on Rona at the wrong hour has never quite died among them, and there are still those who will not name the Wandering Star after dark."
Ben Aigan,1931,Aberdeen steam trawler,12,"Skipper William Cheyne; Sandy Flett, deckhand, the sole survivor, who never spoke again","Twelve men drowned, and the one who lived was found alive on the shingle and never spoke again.","The Ben Aigan was a steam trawler out of Aberdeen, working the distant northern grounds in winter as the Aberdeen boats did — a rugged, ordinary fishing vessel with a crew of thirteen hard men far from home, under a skipper, William Cheyne, who had fished those waters twenty years. There was nothing remarkable about her or her voyage. She was one of scores of trawlers working the north that season, and her loss on the reefs off Rona would have been one more grim line in the fishing news but for the single thing that has kept her spoken of ever since: what happened to the one man who lived.

She struck in the dark and went down fast, and twelve of the thirteen drowned. The thirteenth, a young deckhand named Sandy Flett, was found two days later alive on Rona's shingle by the relief boat's crew, who had come out on their ordinary rounds and found instead a survivor no one knew to look for — soaked, frozen, barely living, but alive. He was taken off and brought to hospital in Stornoway and recovered, in body, well enough. But Sandy Flett never spoke another word for the rest of his life. Not of the wreck, not of the two days and nights alone on the island with his drowned shipmates somewhere in the water below, not of anything at all. He lived another forty years in silence and took whatever he had seen, or not seen, with him.

The doctors of the day had a word for it, near enough — shock, exposure, the mind closing itself against a horror too great to hold, the ordinary and terrible arithmetic of a man who watches twelve friends drown and survives alone in a cold and haunted-sounding place for two nights. That is very likely the whole of it. A man may be broken past speech by such a thing with no help from anything but the sea and his own grief. But the keeper on Rona at the time recorded, in his log, that on one of those two nights he had heard someone — he was certain of it — moving and crying out on the shingle below the tower, and had gone down with a lantern to help, and had found no one, and had gone back up; and that the crying had continued, on and off, until dawn. He did not know, when he wrote it, that a living man had been on the shingle the whole time. Or that the living man, when finally found, would not say whether he had cried out at all."
